s.no,family,genus or species code,count,plot,habitat,date,time,inat,sim.indi
1,oxyopidae,peucetia,16,PNA,scrubland,25/2/22,5:50,https://www.inaturalist.org/observations/107461126,
2,lycosidae,id1,14,PNA,scrubland,25/2/22,5:50,https://www.inaturalist.org/observations/107461127,
3,tetragnathidae,tetragnatha,2,PNA,scrubland,25/2/22,5:50,https://www.inaturalist.org/observations/107461128,
4,thomisidae,runcinia,1,PNA,scrubland,25/2/22,5:50,https://www.inaturalist.org/observations/107461130,
5,thomisidae,thomisus,1,PNA,scrubland,25/2/22,5:50,https://www.inaturalist.org/observations/107461129,
6,oxyopidae,oxyopes,6,PNA,scrubland,25/2/22,5:50,https://www.inaturalist.org/observations/107461131,
7,lycosidae,hippasa,6,PNA,scrubland,25/2/22,5:50,https://www.inaturalist.org/observations/107461133,
8,salticidae,id2,1,PNA,scrubland,25/2/22,5:50,https://www.inaturalist.org/observations/107461134,A
9,salticidae,id3,1,PNA,scrubland,25/2/22,5:50,https://www.inaturalist.org/observations/107461135,A
10,oxyopidae,b lynx,2,PNA,scrubland,25/2/22,5:50,https://www.inaturalist.org/observations/107461137,
11,araneidae,cyrtophora,1,PNA,scrubland,25/2/22,5:50,https://www.inaturalist.org/observations/107461138,
12,salticidae,harmochirus,1,PNA,scrubland,25/2/22,5:50,https://www.inaturalist.org/observations/107481881,
13,oxyopidae,hamataliwa,1,PNA,scrubland,25/2/22,5:50,https://www.inaturalist.org/observations/107481883,
14,not identified,not identified,3,PNA,scrubland,25/2/22,5:50,,
15,araneidae,cyrtophora,8,PNB,scrubland,15/03/22,7:40,,
16,araneidae,gea,5,PNB,scrubland,15/03/22,7:40,https://www.inaturalist.org/observations/108718172,
17,araneidae,id5,7,PNB,scrubland,15/03/22,7:40,https://www.inaturalist.org/observations/108718173,
18,araneidae,id6,1,PNB,scrubland,15/03/22,7:40,https://www.inaturalist.org/observations/108718178,
19,pisauridae,pisaurina/dendrolycosa,2,PNB,scrubland,15/03/22,7:40,https://www.inaturalist.org/observations/108718177,
20,lycosidae,hippasa,5,PNB,scrubland,15/03/22,7:40,,
21,oxyopidae,peucetia,3,PNB,scrubland,15/03/22,7:40,,
22,oxyopidae,oxyopes,3,PNB,scrubland,15/03/22,7:40,,
23,oxyopidae,himataliwa,2,PNB,scrubland,15/03/22,7:40,https://www.inaturalist.org/observations/108718176,
24,clubionidae,id8,2,PNB,scrubland,15/03/22,7:40,https://www.inaturalist.org/observations/108718174,
25,araneidae,neoscona,2,PNB,scrubland,15/03/22,7:40,,
26,oxyopidae,b lynx,1,PNB,scrubland,15/03/22,7:40,https://www.inaturalist.org/observations/107461137,
27,not identified,not identified,4,PNB,scrubland,15/03/22,7:40,,
28,oxyopidae,peucetia,5,PNC,scrubland,16/03/22,7:05,,
29,oxyopidae,oxyopes,13,PNC,scrubland,16/03/22,7:05,,
30,oxyopidae,b lynx,1,PNC,scrubland,16/03/22,7:05,,
31,oxyopidae,hamataliwa,2,PNC,scrubland,16/03/22,7:05,,
32,thomisidae,misumena,1,PNC,scrubland,16/03/22,7:05,https://www.inaturalist.org/observations/108970289,
33,salticidae,neaetha,1,PNC,scrubland,16/03/22,7:05,https://www.inaturalist.org/observations/108970296,
34,lycosidae,hippasa,14,PNC,scrubland,16/03/22,7:05,,
35,araneidae,cyrtophora,2,PNC,scrubland,16/03/22,7:05,https://www.inaturalist.org/observations/108970292,
36,araneidae,id9,1,PNC,scrubland,16/03/22,7:05,https://www.inaturalist.org/observations/108970292,
37,araneidae,gea,8,PNC,scrubland,16/03/22,7:05,https://www.inaturalist.org/observations/108970291,
38,clubionidae,clubiona,3,PNC,scrubland,16/03/22,7:05,https://www.inaturalist.org/observations/108970294,
39,thomisidae,thomisus,1,PNC,scrubland,16/03/22,7:05,,
40,araneidae,argiope1,1,PNC,scrubland,16/03/22,7:05,https://www.inaturalist.org/observations/108970299,
41,araneidae,argiope2,1,PNC,scrubland,16/03/22,7:05,https://www.inaturalist.org/observations/108970288,
42,not identified,not identified,4,PNC,scrubland,16/03/22,7:05,,
43,oxyopidae,oxyopes,9,PIA,disturbed,28/2/22,8:00,,
44,oxyopidae,oxyopes,1,PIA,disturbed,28/2/22,8:00,,
45,lycosidae,id14,2,PIA,disturbed,28/2/22,8:00,,
46,oxyopidae,hamataliwa,1,PIA,disturbed,28/2/22,8:00,,
47,thomisidae,thomisus,1,PIA,disturbed,28/2/22,8:00,,
48,lycosidae,hippasa,17,PIA,disturbed,28/2/22,8:00,https://www.inaturalist.org/observations/107638631,
49,araneidae,neoscona,3,PIA,disturbed,28/2/22,8:00,,
50,salticidae,chrysilla volupe,1,PIA,disturbed,28/2/22,8:00,https://www.inaturalist.org/observations/107638633,
51,araneidae,cyrtophora,1,PIA,disturbed,28/2/22,8:00,https://www.inaturalist.org/observations/107638630,
52,not identified,not identified,2,PIA,disturbed,28/2/22,8:00,,
53,oxyopidae,peucetia,1,PIB,disturbed,9/3/22,8:10,,
54,oxyopidae,oxyopus,9,PIB,disturbed,9/3/22,8:10,,
55,oxyopidae,hamataliwa,1,PIB,disturbed,9/3/22,8:10,https://www.inaturalist.org/observations/108718166,
56,salticidae,id12,2,PIB,disturbed,9/3/22,8:10,https://www.inaturalist.org/observations/108718165,
57,lycosidae,hippasa,37,PIB,disturbed,9/3/22,8:10,,
58,araneidae,cyrtophora,1,PIB,disturbed,9/3/22,8:10,,
59,tetragnathidae,tetragnatha,1,PIB,disturbed,9/3/22,8:10,,
60,not identified,not identified,1,PIB,disturbed,9/3/22,8:10,,
61,lycosidae,hippasa,2,PIC,disturbed,18/3/22,9:00,,
62,araneidae,argiope,2,PIC,disturbed,18/3/22,9:00,,
63,araneidae,neoscona,3,PIC,disturbed,18/3/22,9:00,,
64,oxyopidae,peucetia,3,PIC,disturbed,18/3/22,9:00,,
65,clubionidae,clubiona,2,PIC,disturbed,18/3/22,9:00,,
66,salticidae,harmochirus,1,PIC,disturbed,18/3/22,9:00,,
